,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,AcceptedCmpOverall,groupAge,NumPurchases,MntProducts,Education,compraron_mes,NoAccepterCmpOverall,Accmost1,marital_status,Kidhomemost1,teenhomemost1,AcceptDeal
0,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,63,2822,0,0,1,0,0,0,0,1,0,0,0,Old Adults,22,1529,education_Graduation,1,1,0,marital_Single,0,0,1
1,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,66,2272,0,0,1,0,0,0,0,1,0,0,0,Old Adults,4,21,education_Graduation,1,1,0,marital_Single,1,1,1
2,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,55,2471,0,0,0,1,0,0,0,1,0,0,0,Middle-Aged Adults,20,734,education_Graduation,0,1,0,marital_Together,0,0,1
3,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,36,2298,0,0,0,1,0,0,0,1,0,0,0,Middle-Aged Adults,6,48,education_Graduation,0,1,0,marital_Together,1,0,1
4,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,39,2320,0,1,0,0,0,0,0,0,0,1,0,Middle-Aged Adults,14,407,education_PhD,1,1,0,marital_Married,1,0,1
5,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,53,2452,0,0,0,1,0,0,0,0,1,0,0,Middle-Aged Adults,20,702,education_Master,0,1,0,marital_Together,0,1,1
6,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,49,2752,1,0,0,0,0,0,0,1,0,0,0,Middle-Aged Adults,17,563,education_Graduation,1,1,0,marital_Divorced,0,1,1
7,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,35,2576,0,1,0,0,0,0,0,0,0,1,0,Middle-Aged Adults,8,146,education_PhD,1,1,0,marital_Married,1,0,1
8,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,46,2547,0,0,0,1,0,0,0,0,0,1,0,Middle-Aged Adults,5,44,education_PhD,0,1,0,marital_Together,1,0,1
9,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,70,2267,0,0,0,1,0,0,0,0,0,1,1,Old Adults,1,36,education_PhD,1,0,0,marital_Together,1,1,1
